,회사명,종목코드,업종,업종2,업종PER,PER,PBR
0,나우코스,257990,기타 화학제품 제조업,,,29.21,6.43
1,에이스캠퍼,322190,자동차 차체 및 트레일러 제조업,,,,19.07
2,유안타제7호스팩,367460,금융 지원 서비스업,창업투자,20.78,,
3,루트락,253610,기타 전문 도매업,,,,
4,ESR켄달스퀘어리츠,365550,부동산 임대 및 공급업,,35.79,,
5,대신밸런스제9호스팩,369370,금융 지원 서비스업,기타,22.62,,
6,석경에이티,357550,기초 화학물질 제조업,화학,85.75,104.35,11.54
7,지놈앤컴퍼니,314130,기초 의약물질 및 생물학적 제제 제조업,제약,99.58,,
8,프리시젼바이오,335810,의료용 기기 제조업,생명과학도구및서비스,38.27,,16.78
9,알체라,347860,소프트웨어 개발 및 공급업,소프트웨어,86.51,,27.38
10,엔에이치스팩18호,365590,금융 지원 서비스업,창업투자,20.78,,
11,에프앤가이드,064850,기타 정보 서비스업,IT서비스,24.96,27.27,2.19
12,에이치엠씨제5호스팩,353060,금융 지원 서비스업,창업투자,20.78,,
13,티엘비,356860,전자부품 제조업,반도체와반도체장비,20.53,22.45,5.66
14,씨엔티드림,286000,기타 화학제품 제조업,,,,4.73
15,인바이오,352940,"비료, 농약 및 살균, 살충제 제조업",화학,69.0,34.07,3.42
16,엔젠바이오,354200,"그외 기타 전문, 과학 및 기술 서비스업",생명과학도구및서비스,38.27,,50.1
17,DB금융스팩8호,367340,기타 금융업,창업투자,20.78,,
18,퀀타매트릭스,317690,의료용 기기 제조업,생명과학도구및서비스,38.27,,8.94
19,명신산업,009900,자동차 신품 부품 제조업,자동차부품,46.67,37.13,16.26
20,클리노믹스,352770,의료용품 및 기타 의약 관련제품 제조업,생물공학,-54.63,,31.32
21,포인트모바일,318020,컴퓨터 및 주변장치 제조업,전자장비와기기,65.66,31.21,7.18
22,앱코,129890,컴퓨터 및 주변장치 제조업,컴퓨터와주변기기,-34.95,61.76,9.19
23,엔에프씨,265740,기타 화학제품 제조업,화장품,89.76,18.83,6.15
24,제일전기공업,199820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기장비,-220.85,16.79,3.73
25,하나기술,299030,특수 목적용 기계 제조업,전자장비와기기,65.66,75.93,16.75
26,에이플러스에셋,244920,보험 및 연금관련 서비스업,손해보험,6.87,7.17,1.46
27,티앤엘,340570,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,18.80,4.12
28,고바이오랩,348150,자연과학 및 공학 연구개발업,생물공학,-54.63,,
29,네패스아크,330860,"그외 기타 전문, 과학 및 기술 서비스업",반도체와반도체장비,20.53,72.79,12.7
30,교촌에프앤비,339770,음·식료품 및 담배 도매업,식품,29.07,13.11,4.48
31,소룩스,290690,전구 및 조명장치 제조업,디스플레이장비및부품,86.49,21.03,6.0
32,위드텍,348350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자장비와기기,65.66,17.21,4.01
33,센코,347000,전자부품 제조업,전자장비와기기,65.66,,12.05
34,바이브컴퍼니,301300,소프트웨어 개발 및 공급업,소프트웨어,86.51,,9.92
35,원포유,122830,전기 통신업,,,,3.49
36,미코바이오메드,214610,의료용 기기 제조업,건강관리장비와용품,208.42,,145.3
37,피플바이오,304840,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,,90.48
38,빅히트,352820,오디오물 출판 및 원판 녹음업,방송과엔터테인먼트,-19.04,88.80,37.79
39,넥스틴,348210,특수 목적용 기계 제조업,반도체와반도체장비,20.53,,311.45
40,원방테크,053080,일반 목적용 기계 제조업,기계,-29.49,13.77,1.56
41,비나텍,126340,일차전지 및 축전지 제조업,전기장비,-220.85,57.10,6.6
42,엔에이치스팩17호,359090,금융 지원 서비스업,창업투자,34.69,,
43,박셀바이오,323990,자연과학 및 공학 연구개발업,제약,99.58,,169.9
44,티와이홀딩스,363280,기타 금융업,건설,7.32,,
45,비비씨,318410,그외 기타 제품 제조업,가정용품,14.53,17.08,1.68
46,교보10호기업인수목적,355150,기타 금융업,창업투자,34.69,,
47,핌스,347770,전자부품 제조업,디스플레이장비및부품,86.49,15.83,2.45
48,압타머사이언스,291650,자연과학 및 공학 연구개발업,생물공학,-54.63,,27.15
49,이오플로우,294090,의료용 기기 제조업,건강관리장비와용품,208.42,,191.57
50,카카오게임즈,293490,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,281.22,4.5
51,피엔케이피부임상연구센타,347740,"그외 기타 전문, 과학 및 기술 서비스업",생명과학도구및서비스,38.27,22.08,2.85
52,코람코에너지리츠,357120,부동산 임대 및 공급업,,35.79,,
53,미래에셋대우스팩 5호,353490,금융 지원 서비스업,창업투자,34.69,,
54,아이디피,332370,컴퓨터 및 주변장치 제조업,컴퓨터와주변기기,-34.95,12.10,1.46
55,셀레믹스,331920,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,,28.38
56,데이드림엔터,348840,"영화, 비디오물, 방송프로그램 제작 및 배급업",,,13.58,220.03
57,미투젠,950190,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,7.82,3.21
58,브랜드엑스코퍼레이션,337930,기타 정보 서비스업,"섬유,의류,신발,호화품",33.35,22.70,3.18
59,영림원소프트랩,060850,소프트웨어 개발 및 공급업,소프트웨어,86.51,20.52,3.7
60,한국파마,032300,의약품 제조업,제약,99.58,88.08,13.26
61,제이알글로벌리츠,348950,부동산 임대 및 공급업,,35.79,,
62,솔브레인,357780,기타 화학제품 제조업,반도체와반도체장비,25.67,,
63,이루다,164060,의료용 기기 제조업,건강관리장비와용품,208.42,25.74,3.63
64,미래에셋맵스리츠,357250,부동산 임대 및 공급업,,35.79,,
65,이지스레지던스리츠,350520,부동산 임대 및 공급업,,35.79,,
66,와이팜,332570,전자부품 제조업,핸드셋,-202.0,35.40,4.75
67,이엔드디,101360,기타 화학제품 제조업,화학,69.0,43.49,6.74
68,에이치엠씨제4호스팩,353070,금융 지원 서비스업,창업투자,34.69,,
69,엠투아이,347890,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자장비와기기,65.66,22.31,2.6
70,더네이쳐홀딩스,298540,"섬유, 의복, 신발 및 가죽제품 소매업","섬유,의류,신발,호화품",33.35,16.26,2.42
71,제놀루션,225220,기초 의약물질 및 생물학적 제제 제조업,건강관리장비와용품,208.42,,42.71
72,솔트룩스,304100,소프트웨어 개발 및 공급업,IT서비스,24.96,163.30,3.11
73,하나금융16호스팩,343510,금융 지원 서비스업,창업투자,34.69,,1.85
74,바이오인프라생명과학,266470,자연과학 및 공학 연구개발업,,,,
75,티에스아이,277880,특수 목적용 기계 제조업,기계,-29.49,,5.17
76,에이프로,262260,기타 전기장비 제조업,전자장비와기기,65.66,32.02,5.08
77,이지스밸류플러스리츠,334890,부동산 임대 및 공급업,,35.79,,
78,IBKS제13호스팩,351340,금융 지원 서비스업,창업투자,34.69,,
79,소마젠,950200,"그외 기타 전문, 과학 및 기술 서비스업",생명과학도구및서비스,38.27,,
80,신도기연,290520,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,8.97,2.29
81,위더스제약,330350,의약품 제조업,제약,99.58,19.31,2.32
82,에스케이바이오팜,326030,자연과학 및 공학 연구개발업,제약,99.58,,
83,엠브레인,169330,시장조사 및 여론조사업,IT서비스,24.96,15.96,3.47
84,젠큐릭스,229000,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,,691.45
85,폭스소프트,354230,소프트웨어 개발 및 공급업,,,36.79,9.99
86,무진메디,322970,자연과학 및 공학 연구개발업,,,,14.54
87,IBKS제14호스팩,351320,기타 금융업,창업투자,34.69,,
88,엘이티,297890,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,13.22,2.93
89,에스씨엠생명과학,298060,의약품 제조업,제약,99.58,,22.77
90,엔에이치스팩16호,353190,금융 지원 서비스업,창업투자,34.69,,
91,이지바이오,353810,동물용 사료 및 조제식품 제조업,식품,33.41,,
92,드림씨아이에스,223250,자연과학 및 공학 연구개발업,제약,99.58,17.30,2.85
93,대덕전자,353200,전자부품 제조업,전자장비와기기,51.43,,
94,이베스트스팩5호,349720,금융 지원 서비스업,창업투자,34.69,,
95,오션스톤,329020,음·식료품 및 담배 도매업,,,10.42,4.76
96,이노진,344860,기타 화학제품 제조업,,,,0.93
97,단디바이오,343090,의료용품 및 기타 의약 관련제품 제조업,,,,4.79
98,케이프이에스제4호,347140,기타 금융업,창업투자,34.69,,
99,엔피디,198080,전자부품 제조업,핸드셋,-202.0,16.42,0.95
100,플레이디,237820,광고업,광고,18.53,44.26,1.62
101,SK6호스팩,340350,금융 지원 서비스업,창업투자,20.78,,1.05
102,서울바이오시스,092190,반도체 제조업,디스플레이장비및부품,86.49,75.61,3.9
103,제이앤티씨,204270,전자부품 제조업,전자장비와기기,65.66,4.79,1.47
104,켄코아에어로스페이스,274090,"항공기,우주선 및 부품 제조업",우주항공과국방,50.8,,3.37
105,레몬,294140,화학섬유 제조업,화학,69.0,16.67,4.69
106,서남,294630,기타 전기장비 제조업,에너지장비및서비스,-35.73,,9.94
