종목명,현재가,전일비,등락률,거래량,거래대금,전일거래량,시가총액,PER,PBR
서울식품,330.0,60.0,+22.22%,1184037409.0,371437.0,373127685.0,1202.0,-82.5,4.54
이화전기,320.0,0.0,0.00%,1037267481.0,330446.0,484677142.0,2299.0,-24.62,1.23
이아이디,502.0,45.0,-8.23%,914330355.0,472333.0,273589027.0,3631.0,-26.42,2.33
이트론,834.0,99.0,+13.47%,903628684.0,699841.0,262437907.0,4375.0,-34.75,6.5
KODEX 200선물인버스2X,2080.0,45.0,-2.12%,586371390.0,1255173.0,373295811.0,22256.0,,
자안,354.0,59.0,-14.29%,291131443.0,112284.0,339519016.0,996.0,-5.21,1.38
세종텔레콤,716.0,0.0,0.00%,136578868.0,100791.0,382121828.0,4298.0,238.67,1.31
유니온머티리얼,4720.0,510.0,+12.11%,129124738.0,620070.0,21281941.0,1982.0,-112.38,2.32
다날,7350.0,1330.0,-15.32%,98964431.0,759899.0,25749324.0,5068.0,45.94,2.13
KODEX 인버스,3900.0,35.0,-0.89%,93238843.0,367978.0,57441204.0,11751.0,,
KR모터스,1425.0,145.0,+11.33%,92928132.0,134801.0,4399963.0,1370.0,-3.16,3.15
대창,1890.0,35.0,-1.82%,86413284.0,180671.0,12244847.0,1723.0,36.35,0.77
세운메디칼,7880.0,350.0,+4.65%,68969054.0,607964.0,7209734.0,3451.0,34.11,3.33
에스맥,1585.0,35.0,+2.26%,58217704.0,95392.0,5673181.0,4139.0,25.56,1.37
티플랙스,3930.0,320.0,+8.86%,56987929.0,233379.0,3884517.0,954.0,31.44,0.96
코디엠,424.0,3.0,-0.70%,54905414.0,24322.0,14889032.0,1116.0,-10.6,1.23
KODEX 레버리지,27250.0,445.0,+1.66%,46958383.0,1249523.0,33226326.0,16404.0,,
한화생명,3230.0,140.0,+4.53%,46033542.0,151330.0,14709721.0,28054.0,12.28,0.18
세원,6850.0,960.0,-12.29%,44137949.0,332430.0,34335182.0,1959.0,30.58,3.74
KODEX 코스닥150선물인버스,4605.0,15.0,-0.32%,43329095.0,202165.0,29629333.0,4241.0,,
인터파크,5260.0,290.0,+5.84%,41500712.0,225017.0,17092332.0,4271.0,-8.84,1.31
MP한강,1060.0,135.0,-11.30%,41424183.0,50168.0,35903629.0,846.0,-8.69,2.55
영화금속,2720.0,170.0,+6.67%,38645161.0,104597.0,3133134.0,1452.0,-17.55,1.78
유니온,8240.0,1900.0,+29.97%,38190748.0,298591.0,2057202.0,1286.0,-23.75,1.27
우리종금,687.0,19.0,-2.69%,37639981.0,26503.0,120812280.0,6006.0,6.94,1.13
동방,10800.0,500.0,+4.85%,37483034.0,387947.0,42692289.0,4296.0,-82.44,3.7
포스코엠텍,5880.0,280.0,+5.00%,36934321.0,227778.0,14247183.0,2449.0,25.24,2.57
위지트,2255.0,190.0,-7.77%,36833755.0,81915.0,182262148.0,2035.0,173.46,2.42
대한그린파워,1740.0,285.0,+19.59%,35768820.0,60271.0,13764186.0,2667.0,-22.89,7.03
KTcs,2975.0,235.0,-7.32%,32925435.0,114816.0,52033301.0,1270.0,13.4,0.75
SFA반도체,9000.0,120.0,+1.35%,32604003.0,300474.0,19951659.0,14801.0,94.74,4.35
서원,2690.0,200.0,+8.03%,28276429.0,80137.0,980039.0,1277.0,-134.5,1.2
금호에이치티,2340.0,10.0,+0.43%,26392525.0,65344.0,3794881.0,2931.0,-25.16,1.22
삼성전자,82600.0,500.0,+0.61%,25469274.0,2087344.0,21327683.0,4931040.0,22.56,2.09
SBI인베스트먼트,1480.0,195.0,-11.64%,25292934.0,38348.0,221717258.0,2399.0,13.83,2.24
토박스코리아,1375.0,230.0,-14.33%,24644274.0,34241.0,243246510.0,629.0,-41.67,2.59
삼성제약,8140.0,260.0,+3.30%,23607442.0,206614.0,2761469.0,5010.0,-44.73,3.75
대영포장,2710.0,90.0,-3.21%,22334567.0,58704.0,46554671.0,2937.0,63.02,1.82
덴티스,2165.0,35.0,+1.64%,21921380.0,47591.0,36344783.0,1598.0,309.29,4.46
아이에이,1795.0,35.0,-1.91%,18193711.0,32563.0,22661174.0,4944.0,64.11,6.1
큐캐피탈,609.0,21.0,-3.33%,17965708.0,11248.0,94421160.0,1023.0,29.0,0.78
삼성 레버리지 WTI원유 선물 ETN,665.0,45.0,-6.34%,17318427.0,11346.0,11774812.0,3352.0,,
초록뱀,2535.0,170.0,-6.28%,17218496.0,44309.0,26288258.0,3286.0,-7.04,3.93
인터지스,4630.0,430.0,+10.24%,17206719.0,81117.0,7007502.0,1377.0,-5.2,0.71
골든센츄리,355.0,20.0,-5.33%,17186360.0,6260.0,128037617.0,564.0,2.38,0.23
성안,956.0,26.0,+2.80%,16884280.0,16241.0,9148629.0,544.0,-2.53,1.02
경남스틸,2180.0,85.0,+4.06%,15958194.0,37428.0,312580.0,545.0,16.27,0.62
쎄노텍,2175.0,110.0,+5.33%,15477188.0,35365.0,400058.0,873.0,-25.0,2.57
신라섬유,2835.0,300.0,-9.57%,15414091.0,49795.0,15531699.0,688.0,257.73,4.72
NI스틸,3510.0,245.0,+7.50%,15207924.0,53564.0,619745.0,1004.0,13.15,0.86
릭스솔루션,583.0,38.0,+6.97%,15134355.0,8977.0,4055775.0,464.0,-3.41,2.7
갤럭시아머니트리,5130.0,1310.0,-20.34%,14988225.0,79214.0,18873465.0,2012.0,23.0,2.12
삼보산업,2010.0,100.0,+5.24%,14633264.0,29710.0,2312563.0,766.0,-45.68,3.21
코리아센터,9140.0,140.0,+1.56%,14184638.0,133438.0,20018860.0,6965.0,106.28,3.23
브레인콘텐츠,1255.0,15.0,+1.21%,13949739.0,17799.0,4747846.0,2254.0,-3.52,0.21
KODEX 코스닥150 레버리지,15015.0,40.0,+0.27%,13870792.0,203104.0,9172529.0,10480.0,,
팬오션,5310.0,300.0,+5.99%,13671577.0,71613.0,2155566.0,28386.0,20.99,0.93
한솔로지스틱스,3300.0,60.0,-1.79%,13398786.0,46123.0,20508575.0,907.0,10.58,1.68
본느,3000.0,85.0,+2.92%,12961515.0,41911.0,581615.0,921.0,-157.89,2.71
퓨쳐스트림네트웍스,1350.0,35.0,-2.53%,12863151.0,17480.0,42296609.0,1369.0,-28.72,2.11
흥국에프엔비,3145.0,135.0,-4.12%,12527874.0,40844.0,40083448.0,1207.0,35.74,1.68
KCTC,7400.0,130.0,-1.73%,12444855.0,90285.0,18518070.0,2220.0,26.33,1.12
크리스탈신소재,1860.0,0.0,0.00%,12419338.0,23677.0,4891978.0,1261.0,5.22,0.43
AP위성,19550.0,550.0,+2.89%,11990423.0,255045.0,13545639.0,2935.0,1303.33,3.35
HMM,16400.0,600.0,+3.80%,11746423.0,190371.0,6250429.0,53794.0,-52.9,3.17
소리바다,220.0,29.0,-11.65%,11513861.0,2633.0,5643601.0,217.0,-0.78,0.75
SM Life Design,3120.0,180.0,+6.12%,11421054.0,34787.0,6280545.0,1408.0,-33.55,2.92
센트럴바이오,1850.0,270.0,+17.09%,11365237.0,20224.0,2652250.0,1108.0,-12.85,5.44
현대바이오,35650.0,3850.0,+12.11%,11298078.0,389123.0,3207859.0,12804.0,-488.36,21.79
이디티,714.0,15.0,-2.06%,10904358.0,7910.0,14615112.0,373.0,-4.52,0.82
혜인,5660.0,120.0,+2.17%,10796045.0,64731.0,504648.0,720.0,26.33,0.59
지니뮤직,5130.0,10.0,+0.20%,10586155.0,56716.0,2785887.0,2981.0,30.18,1.85
한미반도체,24250.0,2650.0,+12.27%,10276391.0,247120.0,1297474.0,12489.0,28.36,4.81
와이제이엠게임즈,2170.0,5.0,-0.23%,10249730.0,23092.0,4124125.0,1175.0,-11.3,1.74
KD,1050.0,239.0,+29.47%,10075440.0,9868.0,2291811.0,174.0,6.44,0.65
에이비프로바이오,1040.0,15.0,-1.42%,9990797.0,10365.0,14618086.0,2615.0,-5.07,1.76
쌍방울,647.0,5.0,-0.77%,9886393.0,6535.0,2766181.0,1549.0,-3.3,0.7
포스코인터내셔널,23600.0,450.0,+1.94%,9797794.0,238209.0,3826805.0,29117.0,13.02,0.91
이수앱지스,11800.0,400.0,+3.51%,9727532.0,111319.0,5829255.0,3335.0,-16.81,6.44
성호전자,1960.0,80.0,+4.26%,9619988.0,18485.0,14839903.0,1047.0,24.2,1.48
THE E&M,1215.0,45.0,+3.85%,9607034.0,11569.0,18618438.0,2039.0,-28.26,2.04
에이치엘비파워,1050.0,50.0,+5.00%,9569272.0,10104.0,2970255.0,957.0,95.45,2.26
우리기술투자,5150.0,130.0,-2.46%,9442169.0,48664.0,45477769.0,4326.0,20.36,4.51
에이티세미콘,662.0,28.0,-4.06%,9362811.0,6278.0,28090845.0,838.0,-4.36,1.63
비덴트,10150.0,420.0,+4.32%,9003850.0,88211.0,13986546.0,4636.0,24.82,1.29
블루콤,5770.0,780.0,-11.91%,8990863.0,63213.0,489643.0,1044.0,17.81,0.63
엔시트론,919.0,51.0,+5.88%,8842148.0,9054.0,2519300.0,297.0,-3.56,1.61
보성파워텍,2100.0,90.0,-4.11%,8746155.0,19443.0,4075271.0,968.0,80.77,1.18
