회사명,종목코드,업종,업종2,업종PER,PER,PBR,시가총액(억)
현대자동차,005380,자동차용 엔진 및 자동차 제조업,자동차,58.96,58.54,0.92,523487.0
현대모비스,012330,자동차 신품 부품 제조업,자동차부품,46.67,20.22,0.94,315106.0
삼성물산,028260,기타 전문 도매업,복합기업,29.11,21.95,0.89,244822.0
포스코,005490,1차 철강 제조업,철강,41.6,24.82,0.48,236276.0
신한지주,055550,기타 금융업,은행,4.87,4.73,0.4,170220.0
케이티,030200,전기 통신업,다각화된통신서비스,11.95,10.31,0.42,63189.0
LG유플러스,032640,전기 통신업,무선통신서비스,13.56,6.89,0.72,54576.0
삼성카드,029780,기타 금융업,카드,9.1,9.09,0.49,37480.0
NH투자증권,005940,금융 지원 서비스업,증권,6.53,5.71,0.61,33066.0
DB손해보험,005830,보험업,손해보험,6.87,4.96,0.35,27577.0
한화생명,088350,보험업,생명보험,12.49,11.41,0.16,26056.0
팬오션,028670,해상 운송업,해운사,116.29,19.11,0.85,25846.0
한화에어로스페이스,012450,"항공기,우주선 및 부품 제조업",우주항공과국방,50.8,30.36,0.87,21923.0
농심,004370,기타 식품 제조업,식품,29.07,12.94,0.82,17548.0
영원무역,111770,상품 종합 도매업,"섬유,의류,신발,호화품",33.35,9.93,0.81,16262.0
코오롱인더,120110,화학섬유 제조업,화학,69.0,9.9,0.77,14919.0
대림산업,000210,토목 건설업,건설,7.01,4.66,0.52,13588.0
다우기술,023590,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",IT서비스,24.96,4.24,0.75,11822.0
