회사명,종목코드,업종,업종1,업종2,PER,업종PER,PBR
나우코스,257990,기타 화학제품 제조업,KONEX,FICS  개인생활용품,29.21,-,6.43
에이스캠퍼,322190,자동차 차체 및 트레일러 제조업,KONEX,FICS  기계,-,-,19.07
유안타제7호스팩,367460,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
루트락,253610,기타 전문 도매업,KONEX,FICS  의료 장비 및 서비스,-,-,-
ESR켄달스퀘어리츠,365550,부동산 임대 및 공급업,KSE  코스피 서비스업,FICS  부동산,-,35.79,-
대신밸런스제9호스팩,369370,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
석경에이티,357550,기초 화학물질 제조업,KOSDAQ  코스닥 제조,FICS  화학,104.35,265.86,11.54
지놈앤컴퍼니,314130,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  제약,-,265.86,-
프리시젼바이오,335810,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,16.78
알체라,347860,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  일반 소프트웨어,-,63.90,27.38
엔에이치스팩18호,365590,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
에프앤가이드,064850,기타 정보 서비스업,KOSDAQ  코스닥 기타서비스,FICS  IT 서비스,24.10,-,2.25
에이치엠씨제5호스팩,353060,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
티엘비,356860,전자부품 제조업,KOSDAQ  코스닥 제조,FICS  반도체 및 관련장비,21.65,265.86,7.36
씨엔티드림,286000,기타 화학제품 제조업,KONEX,FICS  개인생활용품,-,-,4.73
인바이오,352940,"비료, 농약 및 살균, 살충제 제조업",KOSDAQ  코스닥 제조,FICS  화학,34.08,265.86,3.80
엔젠바이오,354200,"그외 기타 전문, 과학 및 기술 서비스업",KOSDAQ  코스닥 기타서비스,FICS  의료 장비 및 서비스,-,-,50.10
DB금융스팩8호,367340,기타 금융업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
퀀타매트릭스,317690,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,8.94
명신산업,009900,자동차 신품 부품 제조업,KSE  코스피 운수장비,FICS  자동차부품,37.13,26.97,16.26
클리노믹스,352770,의료용품 및 기타 의약 관련제품 제조업,KOSDAQ  코스닥 기타서비스,FICS  바이오,-,-,31.32
포인트모바일,318020,컴퓨터 및 주변장치 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,30.84,265.86,7.00
앱코,129890,컴퓨터 및 주변장치 제조업,KOSDAQ  코스닥 IT H/W,FICS  컴퓨터 및 주변기기,62.12,79.95,21.14
엔에프씨,265740,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  개인생활용품,18.19,265.86,5.94
제일전기공업,199820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",KOSDAQ  코스닥 제조,FICS  전기장비,16.79,265.86,3.73
하나기술,299030,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,78.98,265.86,20.13
에이플러스에셋,244920,보험 및 연금관련 서비스업,KSE  코스피 금융업,FICS  보험,9.05,8.49,2.44
티앤엘,340570,의료용품 및 기타 의약 관련제품 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,18.80,265.86,4.12
고바이오랩,348150,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  바이오,-,-,-
네패스아크,330860,"그외 기타 전문, 과학 및 기술 서비스업",KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,72.79,79.95,12.70
교촌에프앤비,339770,음·식료품 및 담배 도매업,KSE  코스피 유통업,FICS  식료품,13.47,31.64,4.95
소룩스,290690,전구 및 조명장치 제조업,KOSDAQ  코스닥 제조,FICS  디스플레이 및 관련부품,21.03,265.86,6.00
위드텍,348350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,17.21,265.86,4.01
센코,347000,전자부품 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,-,265.86,12.05
바이브컴퍼니,301300,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  일반 소프트웨어,-,63.90,9.92
원포유,122830,전기 통신업,KONEX,FICS  유선통신,-,-,3.49
미코바이오메드,214610,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,145.30
피플바이오,304840,의료용품 및 기타 의약 관련제품 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,90.48
빅히트,352820,오디오물 출판 및 원판 녹음업,KSE  코스피 서비스업,FICS  미디어,88.80,62.18,37.79
넥스틴,348210,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,-,79.95,311.45
원방테크,053080,일반 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,13.68,265.86,1.89
비나텍,126340,일차전지 및 축전지 제조업,KOSDAQ  코스닥 IT H/W,FICS  전기장비,31.95,79.95,10.37
엔에이치스팩17호,359090,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
박셀바이오,323990,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  제약,-,-,169.90
티와이홀딩스,363280,기타 금융업,KSE  코스피 금융업,FICS  건설,-,8.49,-
비비씨,318410,그외 기타 제품 제조업,KOSDAQ  코스닥 제조,FICS  가정생활용품,17.03,265.86,3.11
교보10호기업인수목적,355150,기타 금융업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
핌스,347770,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,5.22,79.95,2.10
압타머사이언스,291650,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  바이오,-,-,27.15
이오플로우,294090,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,191.57
